Betashares Portfolio Holdings,
,
Fund Name,Betashares Australia 200 ETF
Fund ASX Code,A200
Date,2026-08-27
,
Ticker,Name,Asset Class,Sector,Country,Currency,Weight (%),Shares/Units (#),Market Value (AUD),Notional Value (AUD)
PMV AT,PREMIER INVESTMENTS LTD,Equities,Consumer Discretionary,Australia,AUD,0.03765225,353885.0,4133376.8,4133376.8
PNR AT,PANTORO GOLD LTD,Equities,Materials,Australia,AUD,0.03596385,1451481.0,3948028.32,3948028.32
JDO AT,JUDO CAPITAL HOLDINGS LTD,Equities,Financials,Australia,AUD,0.03489378,3773949.0,3830558.24,3830558.24
ARF AT,ARENA REIT,Equities,Real Estate,Australia,AUD,0.03427396,1607913.0,3762516.42,3762516.42
CNI AT,CENTURIA CAPITAL GROUP,Equities,Real Estate,Australia,AUD,0.03363016,3102388.0,3691841.72,3691841.72
WBT AT,WEEBIT NANO LTD,Equities,Information Technology,Australia,AUD,0.03093437,872983.0,3395903.87,3395903.87
IPX AT,IPERIONX LTD,Equities,Materials,Australia,AUD,0.02895054,1084684.0,3178124.12,3178124.12
XPU6 Index,SPI 200 FUTURES   SEP26,Index Futures,,,AUD,,266.0,,
AUD,AUD - AUSTRALIA DOLLAR,Cash,,,AUD,0.55001657,60379552.720000006,60379552.720000006,60379552.720000006
""
"Total weights may not add up to 100% due to rounding or immateriality. Holdings, weights and values are subject to change."
"Betashares makes no representation or warranty of any kind, either express or implied, with respect to the holdings data,"
"its timeliness, the information's use or any other matter."
